,Name_sesion_es,Lab,Hw,Project,Exam,Ntipo,Name_lab_es,Name_project_es,Sesion,Name_book,Book_url_values,Presentacion,Video,Demostracion,Seccion_lecturas,Tipo_lab,Tipo_hw,Tipo_exam,Tipo_project
45,Oportunidad,0,hw05,0,0,0,0,0,14,9.3. Simulation,https://inferentialthinking.com/chapters/09/3/Simulation.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,9.3,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw05/hw05.ipynb,,
46,Oportunidad,0,hw05,0,0,0,0,0,14,9.4. The Monty Hall Problem,https://inferentialthinking.com/chapters/09/4/Monty_Hall_Problem.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,9.4,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw05/hw05.ipynb,,
47,Oportunidad,0,hw05,0,0,0,0,0,14,0,0,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,0,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw05/hw05.ipynb,,
48,Muestreo,0,0,0,0,-1,0,0,15,9.5. Finding Probabilities,https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,9.5,,,,
49,Muestreo,0,0,0,0,-1,0,0,15,10. Sampling and Empirical Distributions,https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,10,,,,
50,Muestreo,0,0,0,0,-1,0,0,15,10.1. Empirical Distributions,https://inferentialthinking.com/chapters/10/1/Empirical_Distributions.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,10.1,,,,
51,Modelos,0,hw06,0,0,0,0,0,16,10.2. Sampling from a Population,https://inferentialthinking.com/chapters/10/2/Sampling_from_a_Population.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,10.2,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw06/hw06.ipynb,,
52,Modelos,0,hw06,0,0,0,0,0,16,10.3. Empirical Distibution of a Statistic,https://inferentialthinking.com/chapters/10/3/Empirical_Distribution_of_a_Statistic.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,10.3,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw06/hw06.ipynb,,
53,Modelos,0,hw06,0,0,0,0,0,16,10.4. Random Sampling in Python,https://inferentialthinking.com/chapters/10/4/Random_Sampling_in_Python.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,10.4,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw06/hw06.ipynb,,
54,Comparación de distribución,Lab06,0,0,0,1,Evaluación de modelos,0,17,11. Testing Hypotheses,https://inferentialthinking.com/chapters/11/Testing_Hypotheses.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,11,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab06/lab06.ipynb,,,
